platform	dbGapId
dbGaP	phs000395
dbGaP	phs000396
dbGaP	phs000397
dbGaP	phs000399
dbGaP	phs000400
dbGaP	phs000403
dbGaP	phs000404
dbGaP	phs000405
dbGaP	phs000406
dbGaP	phs000407
dbGaP	phs000408
dbGaP	phs000409
dbGaP	phs000410
dbGaP	phs000413
dbGaP	phs000414
dbGaP	phs000415
dbGaP	phs000416
dbGaP	phs000417
dbGaP	phs000418
dbGaP	phs000419
dbGaP	phs000420
dbGaP	phs000421
dbGaP	phs000423
dbGaP	phs000425
dbGaP	phs000426
dbGaP	phs000428
dbGaP	phs000429
dbGaP	phs000430
dbGaP	phs000431
dbGaP	phs000433
dbGaP	phs000434
dbGaP	phs000435
dbGaP	phs000436
dbGaP	phs000437
dbGaP	phs000440
dbGaP	phs000443
dbGaP	phs000444
dbGaP	phs000445
dbGaP	phs000447
dbGaP	phs000448
dbGaP	phs000449
dbGaP	phs000450
dbGaP	phs000451
dbGaP	phs000452
dbGaP	phs000454
dbGaP	phs000455
dbGaP	phs000456
dbGaP	phs000457
dbGaP	phs000458
dbGaP	phs000459
dbGaP	phs000460
dbGaP	phs000461
dbGaP	phs000462
dbGaP	phs000469
dbGaP	phs000472
dbGaP	phs000473
dbGaP	phs000474
dbGaP	phs000475
dbGaP	phs000476
dbGaP	phs000477
dbGaP	phs000478
dbGaP	phs000480
dbGaP	phs000482
dbGaP	phs000483
dbGaP	phs000484
dbGaP	phs000485
dbGaP	phs000486
dbGaP	phs000487
dbGaP	phs000488
dbGaP	phs000490
dbGaP	phs000491
dbGaP	phs000492
dbGaP	phs000493
dbGaP	phs000494
dbGaP	phs000495
dbGaP	phs000496
dbGaP	phs000497
dbGaP	phs000500
dbGaP	phs000502
dbGaP	phs000503
dbGaP	phs000504
dbGaP	phs000505
dbGaP	phs000506
dbGaP	phs000508
dbGaP	phs000509
dbGaP	phs000510
dbGaP	phs000511
dbGaP	phs000512
dbGaP	phs000513
dbGaP	phs000514
dbGaP	phs000516
dbGaP	phs000517
dbGaP	phs000519
dbGaP	phs000521
dbGaP	phs000522
dbGaP	phs000523
dbGaP	phs000524
dbGaP	phs000525
dbGaP	phs000531
dbGaP	phs000532
dbGaP	phs000535
dbGaP	phs000536
dbGaP	phs000537
dbGaP	phs000538
dbGaP	phs000539
dbGaP	phs000540
dbGaP	phs000541
dbGaP	phs000542
dbGaP	phs000543
dbGaP	phs000545
dbGaP	phs000546
dbGaP	phs000547
dbGaP	phs000548
dbGaP	phs000549
dbGaP	phs000550
dbGaP	phs000551
dbGaP	phs000552
dbGaP	phs000554
dbGaP	phs000556
dbGaP	phs000558
dbGaP	phs000559
dbGaP	phs000560
dbGaP	phs000561
dbGaP	phs000562
dbGaP	phs000563
dbGaP	phs000564
dbGaP	phs000565
dbGaP	phs000567
dbGaP	phs000568
dbGaP	phs000572
dbGaP	phs000573
dbGaP	phs000574
dbGaP	phs000575
dbGaP	phs000576
dbGaP	phs000577
dbGaP	phs000578
dbGaP	phs000579
dbGaP	phs000580
dbGaP	phs000582
dbGaP	phs000583
dbGaP	phs000584
dbGaP	phs000585
dbGaP	phs000586
dbGaP	phs000588
dbGaP	phs000589
dbGaP	phs000590
dbGaP	phs000592
dbGaP	phs000594
dbGaP	phs000595
dbGaP	phs000596
dbGaP	phs000597
dbGaP	phs000598
dbGaP	phs000600
dbGaP	phs000601
dbGaP	phs000602
dbGaP	phs000603
dbGaP	phs000604
dbGaP	phs000605
dbGaP	phs000606
dbGaP	phs000607
dbGaP	phs000608
dbGaP	phs000609
dbGaP	phs000610
dbGaP	phs000611
dbGaP	phs000612
dbGaP	phs000613
dbGaP	phs000614
dbGaP	phs000615
dbGaP	phs000616
dbGaP	phs000618
dbGaP	phs000619
dbGaP	phs000620
dbGaP	phs000621
dbGaP	phs000622
dbGaP	phs000623
dbGaP	phs000624
dbGaP	phs000625
dbGaP	phs000626
dbGaP	phs000627
dbGaP	phs000628
dbGaP	phs000629
dbGaP	phs000630
dbGaP	phs000632
dbGaP	phs000633
dbGaP	phs000634
dbGaP	phs000635
dbGaP	phs000636
dbGaP	phs000637
dbGaP	phs000638
dbGaP	phs000639
dbGaP	phs000641
dbGaP	phs000642
dbGaP	phs000643
dbGaP	phs000644
dbGaP	phs000645
dbGaP	phs000646
dbGaP	phs000648
dbGaP	phs000649
dbGaP	phs000650
dbGaP	phs000652
dbGaP	phs000653
dbGaP	phs000654
dbGaP	phs000655
dbGaP	phs000656
dbGaP	phs000657
dbGaP	phs000658
dbGaP	phs000659
dbGaP	phs000660
dbGaP	phs000661
dbGaP	phs000662
dbGaP	phs000663
dbGaP	phs000664
dbGaP	phs000665
dbGaP	phs000666
dbGaP	phs000667
dbGaP	phs000669
dbGaP	phs000670
dbGaP	phs000671
dbGaP	phs000672
dbGaP	phs000673
dbGaP	phs000674
dbGaP	phs000675
dbGaP	phs000676
